scenario,metric,display_name,unit,FY2026_actual,presentation_rounding,notes,FY2027,FY2028,FY2029,FY2030,FY2031
bull,total_selling_and_administrative_expense,Total SG&A,USD millions,16114,Whole USD millions; authoritative precision in scenario_forecast_long.csv,,16227,16488,16804,17216,17597
bull,derived_operating_income,Derived operating income,USD millions,3797,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Project-derived operating income equals gross profit less total SG&A; it is not Nike-reported EBIT or segment EBIT.,3824,4850,6110,7111,7747
bull,operating_margin,Derived operating margin,decimal,0.082,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,"Uses project-derived operating income, not a Nike-reported consolidated subtotal.",0.082,0.100,0.120,0.133,0.140
bull,normalized_tax_rate,Historical effective / forecast normalized operating tax rate,decimal,0.203,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,FY2026 is the historical effective rate; forecasts use the project's normalized 21.0% operating tax rate within Nike's low-20% outlook range.,0.210,0.210,0.210,0.210,0.210
bull,normalized_operating_tax_expense,Normalized operating tax expense,USD millions,771,Whole USD millions; authoritative precision in scenario_forecast_long.csv,No automatic tax benefit is recognized for an operating loss without a documented NOL schedule.,803,1018,1283,1493,1627
bull,nopat,NOPAT,USD millions,3026,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Derived operating income less normalized operating tax expense; interest is excluded.,3021,3831,4827,5618,6120
bull,depreciation_and_amortization,Depreciation and amortization,USD millions,747,Whole USD millions; authoritative precision in scenario_forecast_long.csv,,746,776,815,909,941
bull,da_percent_revenue,D&A as a percentage of revenue,decimal,0.016,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,,0.016,0.016,0.016,0.017,0.017
bull,capital_expenditures,Capital expenditures,USD millions,684,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Positive values represent investment spending.,793,873,967,1016,996
bull,capex_percent_revenue,Capital expenditures as a percentage of revenue,decimal,0.015,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,Positive capital-expenditure reinvestment rate.,0.017,0.018,0.019,0.019,0.018
bull,operating_nwc_proxy,Operating NWC proxy,USD millions,5507,Whole USD millions; authoritative precision in scenario_forecast_long.csv,"Aggregate noncash, nondebt, nonlease current-balance proxy; some tax and other balances may remain embedded.",5036,5043,5092,5186,5257
bull,operating_nwc_percent_revenue,Operating NWC as a percentage of revenue,decimal,0.119,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,Aggregate operating-NWC proxy divided by revenue.,0.108,0.104,0.100,0.097,0.095
bull,change_in_operating_nwc,Change in operating NWC,USD millions,1355,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Closing less opening operating NWC; a positive change uses cash and reduces FCFF.,-471,7,48,94,71
bull,fcff,Free cash flow to the firm,USD millions,1734,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Historical project FCFF and scenario FCFF use NOPAT + D&A - capex - change in operating NWC; this differs from Phase 3 historical FCF.,3445,3727,4626,5417,5994
bull,fcff_margin,FCFF margin,decimal,0.037,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,FCFF divided by revenue. Operating leases remain in operating expense and are not separately adjusted.,0.074,0.077,0.091,0.101,0.108
bear,revenue_growth,Revenue growth,decimal,0.002,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,Nominal reported-basis consolidated revenue growth.,-0.040,-0.010,0.010,0.020,0.020
bear,revenue,Revenue,USD millions,46398,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Nominal reported-basis consolidated revenue in USD millions.,44542,44097,44538,45428,46337
bear,gross_margin,Gross margin,decimal,0.429,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,FY2026 reported gross margin includes an approximately 210-basis-point IEEPA tariff-recovery benefit; no adjusted actual is substituted.,0.415,0.415,0.420,0.425,0.428
bear,gross_profit,Gross profit,USD millions,19911,Whole USD millions; authoritative precision in scenario_forecast_long.csv,,18485,18300,18706,19307,19832
bear,sga_percent_revenue,SG&A as a percentage of revenue,decimal,0.347,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,Total consolidated SG&A as a percentage of revenue.,0.355,0.357,0.354,0.350,0.346
bear,total_selling_and_administrative_expense,Total SG&A,USD millions,16114,Whole USD millions; authoritative precision in scenario_forecast_long.csv,,15812,15743,15766,15900,16033
bear,derived_operating_income,Derived operating income,USD millions,3797,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Project-derived operating income equals gross profit less total SG&A; it is not Nike-reported EBIT or segment EBIT.,2673,2558,2939,3407,3800
bear,operating_margin,Derived operating margin,decimal,0.082,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,"Uses project-derived operating income, not a Nike-reported consolidated subtotal.",0.060,0.058,0.066,0.075,0.082
bear,normalized_tax_rate,Historical effective / forecast normalized operating tax rate,decimal,0.203,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,FY2026 is the historical effective rate; forecasts use the project's normalized 21.0% operating tax rate within Nike's low-20% outlook range.,0.210,0.210,0.210,0.210,0.210
bear,normalized_operating_tax_expense,Normalized operating tax expense,USD millions,771,Whole USD millions; authoritative precision in scenario_forecast_long.csv,No automatic tax benefit is recognized for an operating loss without a documented NOL schedule.,561,537,617,715,798
bear,nopat,NOPAT,USD millions,3026,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Derived operating income less normalized operating tax expense; interest is excluded.,2111,2021,2322,2692,3002
bear,depreciation_and_amortization,Depreciation and amortization,USD millions,747,Whole USD millions; authoritative precision in scenario_forecast_long.csv,,713,706,713,681,695
bear,da_percent_revenue,D&A as a percentage of revenue,decimal,0.016,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,,0.016,0.016,0.016,0.015,0.015
bear,capital_expenditures,Capital expenditures,USD millions,684,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Positive values represent investment spending.,579,573,624,681,695
bear,capex_percent_revenue,Capital expenditures as a percentage of revenue,decimal,0.015,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,Positive capital-expenditure reinvestment rate.,0.013,0.013,0.014,0.015,0.015
bear,operating_nwc_proxy,Operating NWC proxy,USD millions,5507,Whole USD millions; authoritative precision in scenario_forecast_long.csv,"Aggregate noncash, nondebt, nonlease current-balance proxy; some tax and other balances may remain embedded.",5211,5203,5255,5315,5329
bear,operating_nwc_percent_revenue,Operating NWC as a percentage of revenue,decimal,0.119,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,Aggregate operating-NWC proxy divided by revenue.,0.117,0.118,0.118,0.117,0.115
bear,change_in_operating_nwc,Change in operating NWC,USD millions,1355,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Closing less opening operating NWC; a positive change uses cash and reduces FCFF.,-296,-8,52,60,14
bear,fcff,Free cash flow to the firm,USD millions,1734,Whole USD millions; authoritative precision in scenario_forecast_long.csv,Historical project FCFF and scenario FCFF use NOPAT + D&A - capex - change in operating NWC; this differs from Phase 3 historical FCF.,2540,2161,2359,2632,2988
bear,fcff_margin,FCFF margin,decimal,0.037,Decimal ratio rounded to 0.001 (one decimal percentage point); authoritative precision in scenario_forecast_long.csv,FCFF divided by revenue. Operating leases remain in operating expense and are not separately adjusted.,0.057,0.049,0.053,0.058,0.064
