scenario,fiscal_year,period_end,period_class,metric,display_name,value,unit,status,value_source,formula,input_metrics,source_ids,notes
actual,FY2022,2022-05-31,actual,fcff,Free cash flow to the firm,,USD millions,not_applicable,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2022,2022-05-31,actual,fcff_margin,FCFF margin,,decimal,not_applicable,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,revenue_growth,Revenue growth,0.096489,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,revenue,Revenue,51217,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,gross_margin,Gross margin,0.435246,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,gross_profit,Gross profit,22292,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,sga_percent_revenue,SG&A as a percentage of revenue,0.3197571118964406349454282758,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,total_selling_and_administrative_expense,Total SG&A,16377,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,derived_operating_income,Derived operating income,5915,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,operating_margin,Derived operating margin,0.115489,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,normalized_tax_rate,Historical effective tax rate,0.1823899371069182389937106918,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,normalized_operating_tax_expense,Normalized operating tax expense,1078.836477987421383647798742,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,nopat,NOPAT,4836.163522012578616352201258,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,depreciation_and_amortization,Depreciation and amortization,703,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,da_percent_revenue,D&A as a percentage of revenue,0.01372591131850752679774293692,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,capital_expenditures,Capital expenditures,969,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,capex_percent_revenue,Capital expenditures as a percentage of revenue,0.01891949938496983423472675088,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,operating_nwc_proxy,Operating NWC proxy,5702,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,operating_nwc_percent_revenue,Operating NWC as a percentage of revenue,0.1113302223870980338559462678,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,change_in_operating_nwc,Change in operating NWC,286,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,fcff,Free cash flow to the firm,4284.163522012578616352201258,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2023,2023-05-31,actual,fcff_margin,FCFF margin,0.08364729527329946338817582557,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,revenue_growth,Revenue growth,0.002831,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,revenue,Revenue,51362,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,gross_margin,Gross margin,0.445602,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,gross_profit,Gross profit,22887,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,sga_percent_revenue,SG&A as a percentage of revenue,0.3227288656983762314551614034,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,total_selling_and_administrative_expense,Total SG&A,16576,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,derived_operating_income,Derived operating income,6311,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,operating_margin,Derived operating margin,0.122873,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,normalized_tax_rate,Historical effective tax rate,0.1492537313432835820895522388,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,normalized_operating_tax_expense,Normalized operating tax expense,941.9402985074626865671641791,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,nopat,NOPAT,5369.059701492537313432835821,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,depreciation_and_amortization,Depreciation and amortization,796,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,da_percent_revenue,D&A as a percentage of revenue,0.01549783886920291265916436276,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,capital_expenditures,Capital expenditures,812,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,capex_percent_revenue,Capital expenditures as a percentage of revenue,0.01580935321833261944628324442,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,operating_nwc_proxy,Operating NWC proxy,4690,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,operating_nwc_percent_revenue,Operating NWC as a percentage of revenue,0.09131264358864530197422218761,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,change_in_operating_nwc,Change in operating NWC,-1012,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,fcff,Free cash flow to the firm,6365.059701492537313432835821,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2024,2024-05-31,actual,fcff_margin,FCFF margin,0.1239254643801358458282939882,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,revenue_growth,Revenue growth,-0.09838,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,revenue,Revenue,46309,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,gross_margin,Gross margin,0.427347,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,gross_profit,Gross profit,19790,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,sga_percent_revenue,SG&A as a percentage of revenue,0.3474054719385000755792610508,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,total_selling_and_administrative_expense,Total SG&A,16088,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,derived_operating_income,Derived operating income,3702,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,operating_margin,Derived operating margin,0.079941,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,normalized_tax_rate,Historical effective tax rate,0.1714285714285714285714285714,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,normalized_operating_tax_expense,Normalized operating tax expense,634.6285714285714285714285713,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,nopat,NOPAT,3067.371428571428571428571429,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,depreciation_and_amortization,Depreciation and amortization,775,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,da_percent_revenue,D&A as a percentage of revenue,0.01673540780409855535641020104,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,capital_expenditures,Capital expenditures,430,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,capex_percent_revenue,Capital expenditures as a percentage of revenue,0.009285452071951456520330821223,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,operating_nwc_proxy,Operating NWC proxy,4152,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,operating_nwc_percent_revenue,Operating NWC as a percentage of revenue,0.08965859768079638947072923190,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,change_in_operating_nwc,Change in operating NWC,-538,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,fcff,Free cash flow to the firm,3950.371428571428571428571429,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2025,2025-05-31,actual,fcff_margin,FCFF margin,0.08530461527071257361265782956,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,revenue_growth,Revenue growth,0.001922,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,revenue,Revenue,46398,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,gross_margin,Gross margin,0.429135,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,gross_profit,Gross profit,19911,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,sga_percent_revenue,SG&A as a percentage of revenue,0.3472994525626104573472994526,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,total_selling_and_administrative_expense,Total SG&A,16114,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,derived_operating_income,Derived operating income,3797,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,operating_margin,Derived operating margin,0.081835,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,normalized_tax_rate,Historical effective tax rate,0.2030769230769230769230769231,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,normalized_operating_tax_expense,Normalized operating tax expense,771.0830769230769230769230770,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,nopat,NOPAT,3025.916923076923076923076923,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,depreciation_and_amortization,Depreciation and amortization,747,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,da_percent_revenue,D&A as a percentage of revenue,0.01609983188930557351609983189,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,capital_expenditures,Capital expenditures,684,USD millions,selected,committed_sec_reported_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,capex_percent_revenue,Capital expenditures as a percentage of revenue,0.01474201474201474201474201474,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,operating_nwc_proxy,Operating NWC proxy,5507,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,operating_nwc_percent_revenue,Operating NWC as a percentage of revenue,0.1186904607957239536186904608,decimal,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
actual,FY2026,2026-05-31,actual,change_in_operating_nwc,Change in operating NWC,1355,USD millions,calculated,committed_sec_derived_history,See Phase 2-3 lineage and Phase 4 historical bridge.,data/processed/nike_financials.csv,FS01;FS02;FS03,Derived operating income is not Nike-reported EBIT or segment EBIT.
