metric,fiscal_year_label,period_start,period_end,reported_value,normalized_value,reported_unit,normalized_unit,taxonomy,xbrl_concept,sec_form,filing_date,accession_number,source_url,company_facts_url,retrieval_timestamp,selection_status,selection_reason,value_type,presentation_type,transformation_notes,statement_type,period_type,fact_fiscal_year,fact_fiscal_period,frame,candidate_priority,face_statement_url,face_statement_retrieval_timestamp,face_statement_sha256,face_statement_label,face_statement_value,face_reconciliation_status,face_reconciliation_note,supporting_source_url,supporting_source_retrieval_timestamp,supporting_source_sha256,supporting_source_label,supporting_source_notes,content_sha256
total_selling_and_administrative_expense,FY2022,2021-06-01,2022-05-31,14804000000,14804,USD,USD millions,us-gaap,SellingGeneralAndAdministrativeExpense,10-K,2023-07-20,0000320187-23-000039,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,"USD divided by 1,000,000.",income_statement,duration,2023,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/R3.htm,2026-09-07T07:03:56.168211+00:00,ea7d6dbbd0927e1fbd1cd2e42aa966c747c38111946fd03880726615e48d3f82,Total selling and administrative expense,14804,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
total_selling_and_administrative_expense,FY2022,2021-06-01,2022-05-31,14804000000,14804,USD,USD millions,us-gaap,SellingGeneralAndAdministrativeExpense,10-K,2024-07-25,0000320187-24-000044,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,"USD divided by 1,000,000.",income_statement,duration,2024,FY,CY2021,1,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/R3.htm,2026-09-07T07:03:57.836582+00:00,ac6824da10fc859f7f318c38a85e9f8642ebe92d2da0b978146ee3e1cf4aaca2,Total selling and administrative expense,14804,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
income_before_income_taxes,FY2022,2021-06-01,2022-05-31,6651000000,6651,USD,USD millions,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,10-K,2022-07-21,0000320187-22-000038,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,originally_reported,"USD divided by 1,000,000.",income_statement,duration,2022,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/R3.htm,2026-09-07T07:03:54.432504+00:00,ccdfe79c09e57121ac3bd971c3a9ff9285188d979a5cd160b156133c85b0326a,Income before income taxes,6651,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
income_before_income_taxes,FY2022,2021-06-01,2022-05-31,6651000000,6651,USD,USD millions,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,10-K,2023-07-20,0000320187-23-000039,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,"USD divided by 1,000,000.",income_statement,duration,2023,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/R3.htm,2026-09-07T07:03:56.168211+00:00,ea7d6dbbd0927e1fbd1cd2e42aa966c747c38111946fd03880726615e48d3f82,Income before income taxes,6651,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
income_before_income_taxes,FY2022,2021-06-01,2022-05-31,6651000000,6651,USD,USD millions,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,10-K,2024-07-25,0000320187-24-000044,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,"USD divided by 1,000,000.",income_statement,duration,2024,FY,CY2021,1,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/R3.htm,2026-09-07T07:03:57.836582+00:00,ac6824da10fc859f7f318c38a85e9f8642ebe92d2da0b978146ee3e1cf4aaca2,Income before income taxes,6651,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
interest_income_expense_nonoperating_net,FY2022,2021-06-01,2022-05-31,-205000000,-205,USD,USD millions,us-gaap,InterestIncomeExpenseNonoperatingNet,10-K,2022-07-21,0000320187-22-000038,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,originally_reported,"USD divided by 1,000,000. Positive normalized values represent income and negative values represent expense; the face-statement expense label uses the opposite sign.",income_statement,duration,2022,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/R3.htm,2026-09-07T07:03:54.432504+00:00,ccdfe79c09e57121ac3bd971c3a9ff9285188d979a5cd160b156133c85b0326a,"Interest expense (income), net",205,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
interest_income_expense_nonoperating_net,FY2022,2021-06-01,2022-05-31,-205000000,-205,USD,USD millions,us-gaap,InterestIncomeExpenseNonoperatingNet,10-K,2023-07-20,0000320187-23-000039,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,"USD divided by 1,000,000. Positive normalized values represent income and negative values represent expense; the face-statement expense label uses the opposite sign.",income_statement,duration,2023,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/R3.htm,2026-09-07T07:03:56.168211+00:00,ea7d6dbbd0927e1fbd1cd2e42aa966c747c38111946fd03880726615e48d3f82,"Interest expense (income), net",205,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
interest_income_expense_nonoperating_net,FY2022,2021-06-01,2022-05-31,-205000000,-205,USD,USD millions,us-gaap,InterestIncomeExpenseNonoperatingNet,10-K,2024-07-25,0000320187-24-000044,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,"USD divided by 1,000,000. Positive normalized values represent income and negative values represent expense; the face-statement expense label uses the opposite sign.",income_statement,duration,2024,FY,CY2021,1,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/R3.htm,2026-09-07T07:03:57.836582+00:00,ac6824da10fc859f7f318c38a85e9f8642ebe92d2da0b978146ee3e1cf4aaca2,"Interest expense (income), net",205,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
other_nonoperating_income_expense,FY2022,2021-06-01,2022-05-31,181000000,181,USD,USD millions,us-gaap,OtherNonoperatingIncomeExpense,10-K,2022-07-21,0000320187-22-000038,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,originally_reported,"USD divided by 1,000,000. Positive normalized values represent income and negative values represent expense; the face-statement expense label uses the opposite sign.",income_statement,duration,2022,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/R3.htm,2026-09-07T07:03:54.432504+00:00,ccdfe79c09e57121ac3bd971c3a9ff9285188d979a5cd160b156133c85b0326a,"Other (income) expense, net",-181,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
other_nonoperating_income_expense,FY2022,2021-06-01,2022-05-31,181000000,181,USD,USD millions,us-gaap,OtherNonoperatingIncomeExpense,10-K,2023-07-20,0000320187-23-000039,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,"USD divided by 1,000,000. Positive normalized values represent income and negative values represent expense; the face-statement expense label uses the opposite sign.",income_statement,duration,2023,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/R3.htm,2026-09-07T07:03:56.168211+00:00,ea7d6dbbd0927e1fbd1cd2e42aa966c747c38111946fd03880726615e48d3f82,"Other (income) expense, net",-181,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
other_nonoperating_income_expense,FY2022,2021-06-01,2022-05-31,181000000,181,USD,USD millions,us-gaap,OtherNonoperatingIncomeExpense,10-K,2024-07-25,0000320187-24-000044,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,"USD divided by 1,000,000. Positive normalized values represent income and negative values represent expense; the face-statement expense label uses the opposite sign.",income_statement,duration,2024,FY,CY2021,1,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/R3.htm,2026-09-07T07:03:57.836582+00:00,ac6824da10fc859f7f318c38a85e9f8642ebe92d2da0b978146ee3e1cf4aaca2,"Other (income) expense, net",-181,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
net_income,FY2022,2021-06-01,2022-05-31,6046000000,6046,USD,USD millions,us-gaap,NetIncomeLoss,10-K,2022-07-21,0000320187-22-000038,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,originally_reported,"USD divided by 1,000,000.",income_statement,duration,2022,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/R3.htm,2026-09-07T07:03:54.432504+00:00,ccdfe79c09e57121ac3bd971c3a9ff9285188d979a5cd160b156133c85b0326a,NET INCOME,6046,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
net_income,FY2022,2021-06-01,2022-05-31,6046000000,6046,USD,USD millions,us-gaap,NetIncomeLoss,10-K,2023-07-20,0000320187-23-000039,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,"USD divided by 1,000,000.",income_statement,duration,2023,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/R3.htm,2026-09-07T07:03:56.168211+00:00,ea7d6dbbd0927e1fbd1cd2e42aa966c747c38111946fd03880726615e48d3f82,NET INCOME,6046,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
net_income,FY2022,2021-06-01,2022-05-31,6046000000,6046,USD,USD millions,us-gaap,NetIncomeLoss,10-K,2024-07-25,0000320187-24-000044,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,"USD divided by 1,000,000.",income_statement,duration,2024,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/R3.htm,2026-09-07T07:03:57.836582+00:00,ac6824da10fc859f7f318c38a85e9f8642ebe92d2da0b978146ee3e1cf4aaca2,NET INCOME,6046,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
diluted_eps,FY2022,2021-06-01,2022-05-31,3.75,3.75,USD/shares,USD per share,us-gaap,EarningsPerShareDiluted,10-K,2022-07-21,0000320187-22-000038,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,originally_reported,Per-share value retained without scaling.,income_statement,duration,2022,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/R3.htm,2026-09-07T07:03:54.432504+00:00,ccdfe79c09e57121ac3bd971c3a9ff9285188d979a5cd160b156133c85b0326a,Diluted (in dollars per share),3.75,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
diluted_eps,FY2022,2021-06-01,2022-05-31,3.75,3.75,USD/shares,USD per share,us-gaap,EarningsPerShareDiluted,10-K,2023-07-20,0000320187-23-000039,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,Per-share value retained without scaling.,income_statement,duration,2023,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/R3.htm,2026-09-07T07:03:56.168211+00:00,ea7d6dbbd0927e1fbd1cd2e42aa966c747c38111946fd03880726615e48d3f82,Diluted (in dollars per share),3.75,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
diluted_eps,FY2022,2021-06-01,2022-05-31,3.75,3.75,USD/shares,USD per share,us-gaap,EarningsPerShareDiluted,10-K,2024-07-25,0000320187-24-000044,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,later_comparative,Per-share value retained without scaling.,income_statement,duration,2024,FY,CY2021,1,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/R3.htm,2026-09-07T07:03:57.836582+00:00,ac6824da10fc859f7f318c38a85e9f8642ebe92d2da0b978146ee3e1cf4aaca2,Diluted (in dollars per share),3.75,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
diluted_weighted_average_shares,FY2022,2021-06-01,2022-05-31,1610800000,1610.8,shares,shares millions,us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,10-K,2022-07-21,0000320187-22-000038,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320187.json,2026-09-07T06:55:02.100621+00:00,candidate_not_selected,Comparable candidates agree; selected the latest highest-priority presentation that is visible in SEC face-statement evidence.,reported,originally_reported,"shares divided by 1,000,000.",income_statement,duration,2022,FY,,1,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/R3.htm,2026-09-07T07:03:54.432504+00:00,ccdfe79c09e57121ac3bd971c3a9ff9285188d979a5cd160b156133c85b0326a,Diluted (in shares),1610.8,verified,Company Facts value agrees with the SEC-rendered face statement within its displayed precision.,,,,,,54abad8b001c9e08bb81b83c12f30e36867f6462a12e040cc329e94d46e6fc5c
